,VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
6448,1,23,0,0,1,0,0,0,Carabayllo
6450,1,19,0,0,1,0,0,0,Carabayllo
6451,1,50,0,1,1,0,0,1,Carabayllo
6452,1,23,0,1,1,0,0,0,San Miguel
6453,1,33,1,0,1,0,0,1,Carabayllo
6454,1,27,0,1,1,0,1,0,Carabayllo
6456,1,6,0,0,1,0,0,0,Carabayllo
6457,1,10,0,0,1,1,0,0,San Miguel
6460,1,23,1,0,1,0,1,1,Carabayllo
6461,1,31,0,1,1,0,0,0,Carabayllo
6462,1,45,0,1,1,0,0,1,Carabayllo
6463,1,11,0,0,1,1,0,1,San Martin de Porres
6464,1,4,0,0,1,1,0,1,Carabayllo
6465,1,13,0,0,1,1,0,1,San Juan de Lurigancho
6467,1,27,0,1,1,0,0,1,Carabayllo
6469,1,26,0,1,1,0,0,1,Carabayllo
6470,1,13,0,0,1,1,0,1,Carabayllo
6472,1,30,0,0,1,0,1,1,Carabayllo
6473,1,34,0,0,1,0,0,1,Carabayllo
6474,1,8,0,0,1,0,0,1,Carabayllo
6477,1,3,0,0,1,0,0,1,Carabayllo
6478,1,3,0,0,1,0,0,1,Carabayllo
6483,1,10,0,0,1,1,0,0,Carabayllo
6484,1,13,0,0,1,0,0,1,Carabayllo
6485,1,9,0,0,1,0,0,1,San Juan de Lurigancho
6486,1,31,0,0,1,0,0,1,Carabayllo
6487,1,28,0,1,1,0,1,1,Carabayllo
6488,1,33,0,1,1,0,0,1,Carabayllo
6490,1,23,0,0,1,0,0,1,Carabayllo
6491,1,46,0,0,1,0,0,1,Carabayllo
6492,1,18,0,0,1,0,0,1,Carabayllo
6493,1,17,0,0,1,0,0,1,Carabayllo
6494,1,10,0,0,1,0,0,1,Carabayllo
6495,1,15,0,0,1,1,0,1,Carabayllo
6496,1,42,0,1,1,0,0,1,Carabayllo
6497,1,9,0,0,1,0,0,1,Carabayllo
6498,1,22,0,0,1,0,0,1,Carabayllo
6499,1,47,0,1,1,0,0,1,Carabayllo
6502,1,5,0,0,1,1,0,1,Carabayllo
6504,1,37,0,1,1,0,0,1,Carabayllo
6505,1,11,0,0,1,0,0,1,Carabayllo
6506,1,10,0,0,1,0,0,0,Carabayllo
6507,1,39,0,0,1,0,0,0,Carabayllo
6508,1,13,0,0,1,0,0,1,Carabayllo
6509,1,9,0,0,1,0,0,1,Carabayllo
6510,1,28,0,1,1,0,0,1,Carabayllo
6511,1,8,0,0,1,1,0,1,Carabayllo
6512,1,33,0,1,1,0,1,1,Carabayllo
6513,1,40,0,0,1,0,0,1,Carabayllo
6514,1,13,0,0,1,0,0,1,Carabayllo
6515,1,13,0,0,1,0,0,1,Carabayllo
6516,1,44,0,1,1,0,1,1,Carabayllo
6518,1,7,0,0,1,0,0,0,Carabayllo
6519,1,49,0,0,1,0,0,1,Carabayllo
6520,1,11,0,0,1,1,0,1,Carabayllo
6521,1,18,0,0,1,0,0,1,Comas
6522,1,32,0,0,1,0,0,1,Carabayllo
6528,1,17,0,0,1,0,0,1,Carabayllo
6531,1,24,0,1,1,0,0,1,Carabayllo
6532,1,3,0,0,1,0,0,1,Carabayllo
6533,1,1,0,0,1,0,0,1,Carabayllo
6534,1,32,0,1,1,0,0,1,Carabayllo
6535,1,32,0,1,1,0,0,1,Carabayllo
6536,1,30,1,0,1,0,1,1,Carabayllo
6537,1,43,0,1,1,0,1,1,Carabayllo
6538,1,43,0,1,1,0,1,1,Carabayllo
6539,0,22,0,1,1,0,0,0,Carabayllo
6540,1,55,0,0,1,0,0,0,Carabayllo
